decile,score_max,score_min,count,events,non_events,event_rate,decile_precision,decile_recall,cum_events,cum_nonevents,cum_population,cumulative_decile_precision,cumulative_decile_recall,cum_events_pct,cum_nonevents_pct,cum_population_pct,lift,cum_event_rate,cum_lift,ks
1,0.9924775958061218,0.8140024542808533,9270,7091,2179,0.764940668824164,0.764940668824164,0.20714536106566955,7091,2179,9270,0.764940668824164,0.20714536106566955,0.20714536106566955,0.03726697451684625,0.0999978425492438,2.0714983022124813,0.764940668824164,2.0714983022124813,0.1698783865488233
2,0.8140018582344055,0.7283509969711304,9270,5548,3722,0.5984897518878102,0.5984897518878102,0.16207057723767235,12639,5901,18540,0.681715210355987,0.36921593830334193,0.36921593830334193,0.10092355053873782,0.1999956850984876,1.6207407390600543,0.681715210355987,1.8461195206362677,0.2682923877646041
3,0.7283492684364319,0.6565622091293335,9271,4661,4610,0.5027505123503397,0.5027505123503397,0.13615914933395654,17300,10511,27811,0.6220560209988854,0.5053750876372984,0.5053750876372984,0.1797674020865401,0.30000431490151236,1.3614740008150619,0.6220560209988854,1.6845593964313705,0.32560768555075836
4,0.6565593481063843,0.5918488502502441,9270,3976,5294,0.42891046386192017,0.42891046386192017,0.11614863285814443,21276,15805,37081,0.573770933901459,0.6215237204954429,0.6215237204954429,0.2703095604583547,0.4000021574507562,1.1615113876176597,0.573770933901459,1.5538009206161794,0.3512141600370882
5,0.5918434262275696,0.5262575745582581,9270,3424,5846,0.3693635382955771,0.3693635382955771,0.10002336994624912,24700,21651,46351,0.5328903367780631,0.721547090441692,0.721547090441692,0.3702924576706003,0.5,1.000255279477582,0.5328903367780631,1.4430941808833841,0.35125463277109165
6,0.5262497663497925,0.458890825510025,9270,2865,6405,0.30906148867313915,0.30906148867313915,0.083693620004674,27565,28056,55621,0.49558619945703963,0.805240710446366,0.805240710446366,0.4798358132375577,0.5999978425492438,0.8369542569226849,0.49558619945703963,1.3420726765034614,0.32540489720880833
7,0.45888370275497437,0.38919103145599365,9270,2329,6941,0.2512405609492988,0.2512405609492988,0.06803575601776116,29894,34997,64891,0.4606802175956604,0.8732764664641272,0.8732764664641272,0.5985462630408757,0.6999956850984876,0.6803722388736241,0.4606802175956604,1.2475454992858412,0.2747302034232515
8,0.3891909122467041,0.31966838240623474,9271,1887,7384,0.20353791392514292,0.20353791392514292,0.055123860715120356,31781,42381,74162,0.4285348291577897,0.9284003271792475,0.9284003271792475,0.7248332478193945,0.8000043149015124,0.5511910404501227,0.4285348291577897,1.1604941497016072,0.20356707935985296
9,0.3196607828140259,0.23952753841876984,9270,1494,7776,0.16116504854368932,0.16116504854368932,0.04364337462023837,33275,50157,83432,0.39882778789912743,0.9720437017994858,0.9720437017994858,0.8578245253976399,0.9000021574507562,0.436443162248688,0.39882778789912743,1.0800459685038828,0.11421917640184598
10,0.239525705575943,0.010976568795740604,9270,957,8313,0.10323624595469255,0.10323624595469255,0.027956298200514137,34232,58470,92702,0.3692692714288796,1.0,1.0,1.0,1.0,0.2795690135689387,0.3692692714288796,1.0,0.0
