feature,importance_gain
MAX_DPD_30D,392.7442626953125
MAX_DPD_W1,138.39329528808594
MAX_BOD_DPD_1_TO_7_D,118.96443939208984
TILLDATE_MAX_DPD,79.2075424194336
NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,53.02583312988281
NUM_NO_CALL_ALLOCATED_LOANS_8_TO_15_D,37.28843307495117
MAX_DPD_W2,36.462711334228516
NUM_PAID_20PER_DAYS_1_TO_7_D,35.78633499145508
MAX_ACTUAL_DPD_16_TO_30_D,29.601682662963867
DAYS_DPD_3_5_W1,24.97187614440918
DAYS_DPD_3_5_W2,23.103904724121094
MAX_ACTUAL_DPD_8_TO_15_D,22.835351943969727
MAX_BOD_DPD_16_TO_30_D,22.714141845703125
NUM_BOD_DPD_4_10_LOANS_1_TO_7_D,22.146175384521484
NUM_PAID_20PER_DAYS_8_TO_15_D,20.971778869628906
TOTAL_DAYS_LATE_30D,20.03669548034668
NO_OF_MODES_OF_REPAYMENTS_USED,19.155107498168945
DAYS_DPD_1_2_W1,17.989892959594727
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,17.51304054260254
MAX_DPD_W4,16.23874855041504
NUM_PAID_20PER_DAYS_16_TO_30_D,15.408565521240234
RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,15.305266380310059
MAX_BOD_DPD_8_TO_15_D,13.851425170898438
DAYS_DPD_1_2_W2,13.148613929748535
DAYS_DPD_1_2_W4,12.831933975219727
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,12.47450065612793
AVG_DPD_30D,12.14028549194336
AVG_BOD_DPD_1_TO_7_D,11.798343658447266
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,11.525199890136719
AVG_ACTUAL_DPD_16_TO_30_D,11.513188362121582
COLLECTED_AMOUNT_EOD,11.443169593811035
PCT_DAYS_LATE_30D,10.970001220703125
AVG_DPD_W2,10.638947486877441
AVG_BOD_DPD_16_TO_30_D,10.586164474487305
EMI_PER_MAX_DPD_30D,10.258010864257812
NUM_HIGH_RISK_LOANS_16_TO_30_D,10.056532859802246
RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,10.056134223937988
AVG_DPD_W1,9.913756370544434
MIN_AVAILABLE_BALANCE_LAST_1_2_DAY,9.660722732543945
COLLECTED_AMOUNT_CUMULATIVE,9.587199211120605
RATIO__NUM_HIGH_RISK_LOANS_8_TO_15_D_vs_16_TO_30_D,9.544817924499512
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,9.38138198852539
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,9.17419719696045
NO_OF_DAYS_SINCE_FIRST_EDI,9.144014358520508
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,9.1038236618042
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,8.85592269897461
RATIO__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,8.849100112915039
AVG_BOD_DPD_8_TO_15_D,8.744626998901367
AVG_ACTUAL_DPD_1_TO_7_D,8.677420616149902
NUM_TOTAL_SMS_LAST_7_8_DAY,8.610441207885742
