feature,xgb_gain,lgb_gain,iv,combined
MAX_DPD_30D,1.0,0.3582089552238806,1.0,0.7111940298507463
NUM_PAID_20PER_DAYS_1_TO_7_D,0.04545580893871676,1.0,0.41633183434183935,0.5120882974566066
TILLDATE_MAX_DPD,0.1705129264290896,0.582089552238806,0.7501859111299,0.4136897065135431
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,0.035158756440573785,0.4626865671641791,0.12641597852463538,0.23667199347460235
NUM_PAID_20PER_DAYS_8_TO_15_D,0.06667996008482097,0.34328358208955223,0.4298962466090699,0.22747321863937495
MAX_BOD_DPD_1_TO_7_D,0.07575620290601387,0.23880597014925373,0.8173844281579261,0.22329142069066304
COLLECTED_AMOUNT_EOD,0.014943028003609997,0.417910447761194,0.01799261532633931,0.19658332562679576
MAX_DPD_W1,0.11873086524556554,0.13432835820895522,0.7908434459528655,0.1929609951498209
DAYS_DPD_1_2_W1,0.024219754081599227,0.3582089552238806,0.1493142925432014,0.18702434844178606
MAX_BOD_DPD_16_TO_30_D,0.026262506912657725,0.208955223880597,0.5904360349781755,0.16489158235478218
NUM_PAID_20PER_DAYS_16_TO_30_D,0.026052769395544684,0.26865671641791045,0.2981528909508866,0.16243455771114346
NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,0.06681607561435944,0.2835820895522388,0.0,0.1576791743249692
MAX_DPD_W2,0.06039346465415998,0.13432835820895522,0.6940950829146572,0.15703432857986754
EMI_PER_MAX_DPD_30D,0.011734386087047943,0.22388059701492538,0.49640414484804796,0.1556671568806928
AVG_DPD_30D,0.032804501218024744,0.1791044776119403,0.5945540828460654,0.1548144487580908
MAX_BOD_DPD_8_TO_15_D,0.046266932248005925,0.11940298507462686,0.6632586452072594,0.1408773273159107
DAYS_DPD_3_5_W1,0.08226860540622823,0.08955223880597014,0.46017832716223595,0.12333721261171285
AVG_BOD_DPD_1_TO_7_D,0.015345625961630173,0.13432835820895522,0.53053739636856,0.12040703251361944
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,0.031659087983199594,0.1791044776119403,0.13647152390892509,0.10849075690870547
MAX_ACTUAL_DPD_16_TO_30_D,0.013824777283561556,0.08955223880597014,0.5996439320723047,0.10648405044751974
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,0.02063954646281472,0.1791044776119403,0.13983144142703618,0.10386795497634337
RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,0.042511121370372974,0.11940298507462686,0.2688072608887674,0.09974207398912666
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,0.020056185591251417,0.14925373134328357,0.20156587407092152,0.0963460500276329
DAYS_DPD_1_2_W2,0.015460828142417128,0.1791044776119403,0.06060134377026041,0.09361452196648688
AVG_DPD_W2,0.02170390306539037,0.07462686567164178,0.4983886938444126,0.09318771531610573
TOTAL_DAYS_LATE_30D,0.027907460151659375,0.11940298507462686,0.25447152909725007,0.09173685326155381
AVG_DPD_W1,0.0,0.08955223880597014,0.5080931244275534,0.09110781990544191
MAX_DPD_W4,0.0419929693513952,0.05970149253731343,0.4532966399636085,0.09109217184627974
AVG_BOD_DPD_16_TO_30_D,0.020198409158404394,0.08955223880597014,0.40453746599513535,0.08984153818348208
PCT_DAYS_LATE_30D,0.021140898555784424,0.11940298507462686,0.26196936119462494,0.08944168375314758
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,0.026433624169758495,0.11940298507462686,0.23547596918231511,0.08917407107820492
DAYS_DPD_1_2_W4,0.028135819092134407,0.16417910447761194,0.02570768136538814,0.08911248374292466
NO_OF_MODES_OF_REPAYMENTS_USED,0.015699074539344826,0.1791044776119403,0.0007506139745220626,0.08773665986553052
DAYS_DPD_3_5_W2,0.02233303282139523,0.07462686567164178,0.42098659723877885,0.08573061404574454
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,0.010361433397385812,0.11940298507462686,0.25822234719087345,0.08421622303149305
AVG_ACTUAL_DPD_1_TO_7_D,0.029323059024462618,0.04477611940298507,0.5080931244275534,0.0841539427351068
RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,0.03305761784515839,0.1044776119402985,0.22227620852543611,0.08411847425599922
COLLECTED_AMOUNT_CUMULATIVE,0.021019846131946497,0.16417910447761194,0.006992188723207222,0.08403874664662202
MAX_ACTUAL_DPD_8_TO_15_D,0.01729491979570808,0.014925373134328358,0.6940950829146572,0.08390864010998211
AVG_ACTUAL_DPD_16_TO_30_D,0.06272720545093169,0.029850746268656716,0.4152646168824171,0.0831865399620565
NO_OF_DAYS_SINCE_FIRST_EDI,0.015863702712122247,0.16417910447761194,0.00590576487076328,0.08160983972245672
RATIO__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,0.010865840450018835,0.1044776119402985,0.2949492177262569,0.0813994753482685
MIN_AVAILABLE_BALANCE_LAST_1_2_DAY,0.012726348519222006,0.16417910447761194,0.012876021278029356,0.08089505597637821
NUM_BOD_DPD_4_10_LOANS_1_TO_7_D,0.006695196722015298,0.08955223880597014,0.3748464301629138,0.08079598900388484
AVG_BOD_DPD_8_TO_15_D,0.01029934724610073,0.05970149253731343,0.4777152647818988,0.07927190438072626
NUM_NO_CALL_ALLOCATED_LOANS_8_TO_15_D,0.03386522611616541,0.13432835820895522,0.0,0.07568711294630429
RATIO__NUM_HIGH_RISK_LOANS_8_TO_15_D_vs_16_TO_30_D,0.015616681891474164,0.11940298507462686,0.14642581362226564,0.07540143149697202
NUM_TOTAL_SMS_LAST_7_8_DAY,0.00907996861123502,0.14925373134328357,0.0059120800165804906,0.07184137298119142
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,0.02074124547726723,0.07462686567164178,0.2885570837189743,0.0717713583889065
NUM_HIGH_RISK_LOANS_16_TO_30_D,0.014675783481710601,0.1044776119402985,0.18054421726879818,0.07167344966678392
NUM_NO_CALL_ALLOCATED_LOANS_16_TO_30_D,0.02492803241374111,0.13432835820895522,0.0,0.07166537578021336
RATIO__NUM_HIGH_RISK_LOANS_1_TO_7_D_vs_8_TO_15_D,0.02499318105153808,0.1044776119402985,0.12992207032881956,0.07125406387920842
AVG_DPD_W4,0.010635883935934837,0.07462686567164178,0.3246653240494774,0.07083476972835723
TOTAL_DAYS_DPD_0_30D,0.012145804570735998,0.08955223880597014,0.2493728824630857,0.07070140776582634
MAX_DPD_W3,0.024597726072810758,0.014925373134328358,0.5144056159402615,0.06922595623723876
DPD_TREND_RECENT_VS_EARLY,0.011278681508086605,0.07462686567164178,0.3013439957932414,0.06879189581020191
DELTA__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,0.012475941557573526,0.05970149253731343,0.36249849498192,0.06872969484089114
RATIO__NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D_vs_8_TO_15_D,0.009878162676393201,0.13432835820895522,0.029751422559118026,0.0678680766543186
RATIO__MAX_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,0.013490957786061191,0.07462686567164178,0.278224567348078,0.06747547729077413
RATIO__TOTAL_OVERDUE_AMOUNT_1_TO_7_D_vs_8_TO_15_D,0.0185678322001713,0.1044776119402985,0.11701134408300752,0.06707158427151216
RATIO__NUM_HIGH_RISK_LOANS_1_TO_7_D_vs_16_TO_30_D,0.02608675688026217,0.08955223880597014,0.1292067607612639,0.06495822413493094
AVG_DPD_W3,0.03006008991814161,0.029850746268656716,0.37383517149570944,0.06434339343363019
RATIO__AVG_BOD_DPD_8_TO_15_D_vs_16_TO_30_D,0.018078632204217734,0.05970149253731343,0.28644077089511955,0.06364513322320098
DAYS_BETWEEN_LOANS,0.01648890345317361,0.11940298507462686,0.016126489609787725,0.06276399879848898
DELTA__TOTAL_OVERDUE_AMOUNT_1_TO_7_D_vs_8_TO_15_D,0.010646244642991336,0.08955223880597014,0.17117126471453123,0.06220644402348579
MAX_AVAILABLE_BALANCE_LAST_1_2_DAY,0.015348550142299588,0.11940298507462686,0.0121193063166967,0.06185012147928657
IS_MANUAL_REPAYMENT_ON_LENDER_MID,0.016518060582821348,0.11940298507462686,0.0,0.061164470545851696
AVG_ACTUAL_DPD_8_TO_15_D,0.024756437201756153,0.0,0.4983886938444126,0.06097926612523154
RATIO__TOTAL_COLLECTED_AMOUNT_1_TO_7_D_vs_16_TO_30_D,0.011887962023556508,0.07462686567164178,0.21495852828092046,0.06042752529093128
DELTA__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,0.008452131591472045,0.04477611940298507,0.34114836342834937,0.058067549290340637
LOAN_STATUS,0.02241746524522834,0.1044776119402985,0.0,0.05710278473348708
DELTA__NUM_PAID_20PER_DAYS_1_TO_7_D_vs_16_TO_30_D,0.012910184268693801,0.07462686567164178,0.17286165661093636,0.05667783813424465
APP_OPEN_DAYS_LAST_3_WEEK,0.019402379062210064,0.08955223880597014,0.055651569281657765,0.05459473496884687
TOTAL_AVAILABLE_BALANCE_LAST_1_2_DAY,0.012580984374503229,0.1044776119402985,0.013707854944392278,0.05404715383610001
MIN_DEBIT_AMOUNT_LAST_3_WEEK,0.011176974966785522,0.1044776119402985,0.004534142226424672,0.05249797833083028
EDI,0.006856731360030483,0.1044776119402985,0.020093097834830258,0.052109764268631065
DELTA__MIN_DEBIT_AMOUNT_LAST_2_WEEK_vs_4_WEEK,0.009014808683165197,0.1044776119402985,0.007655919109956407,0.05183718119155431
DAYS_DPD_3_5_W3,0.0,0.04477611940298507,0.30094395891930736,0.05024364962327402
TOTAL_OVERDUE_AMOUNT_8_TO_15_D,0.01773233319178844,0.07462686567164178,0.08397298820261169,0.049958938308804775
PREV_EDI_AMOUNT,0.015498454858418172,0.08955223880597014,0.01886497370449558,0.04915930951942431
AVG_AVAILABLE_BALANCE_LAST_2_WEEK,0.03210066937167554,0.07462686567164178,0.010940182888248537,0.049121409058317654
NUM_BOD_DPD_1_3_LOANS_16_TO_30_D,0.037962293017685805,0.05970149253731343,0.04550449098642599,0.048499152598392256
IS_UPI_AUTOPAY_PRIMARY,0.03272425372199651,0.07462686567164178,0.0,0.048308003727137235
NUM_BOD_DPD_4_10_LOANS_16_TO_30_D,0.010147916461434595,0.04477611940298507,0.23340655503181396,0.04805647164217025
DELTA__TOTAL_COLLECTED_AMOUNT_1_TO_7_D_vs_8_TO_15_D,0.008097543637055121,0.05970149253731343,0.16339220970820842,0.04684878724928669
MIN_DEBIT_AMOUNT_LAST_7_8_DAY,0.012148661009768283,0.08955223880597014,0.009325265427631402,0.04669793145984544
INTEREST_OVERDUE,0.008372028987278783,0.08955223880597014,0.02297168922380002,0.04636308942934202
RATIO__TOTAL_COLLECTED_AMOUNT_1_TO_7_D_vs_8_TO_15_D,0.007614694890010463,0.04477611940298507,0.22750717155952396,0.04632658358780039
RATIO__NUM_TOTAL_SMS_LAST_1_2_DAY_vs_1_WEEK,0.011358582769080621,0.08955223880597014,0.006778871955230242,0.04608775690429587
DELTA__RATIO_NUM_DEBIT_CREDIT_TXNS_LAST_1_WEEK_vs_2_WEEK,0.010194295020610318,0.08955223880597014,0.011722843218665817,0.0460582245438278
DELTA__MAX_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,0.016921652084852752,0.029850746268656716,0.24647517517699613,0.045695096776778875
DELTA__MIN_AVAILABLE_BALANCE_LAST_1_2_DAY_vs_1_WEEK,0.008710634619613546,0.08955223880597014,0.009243079031384802,0.04514260094465114
DELTA__NUM_BOD_DPD_1_3_LOANS_1_TO_7_D_vs_16_TO_30_D,0.0328452515761823,0.05970149253731343,0.025871741788560006,0.04423320902992908
DELTA__TOTAL_OVERDUE_AMOUNT_1_TO_7_D_vs_16_TO_30_D,0.022210714005285414,0.05970149253731343,0.07244920223184942,0.044105413167354425
RATIO__MAX_BOD_DPD_8_TO_15_D_vs_16_TO_30_D,0.015735190240495456,0.029850746268656716,0.23363370961170649,0.043877042390289125
DAYS_DPD_0_W2,0.013203210128657326,0.029850746268656716,0.22765115495471214,0.042139395874262534
DELTA__TOTAL_COLLECTED_AMOUNT_8_TO_15_D_vs_16_TO_30_D,0.011249141450017871,0.07462686567164178,0.03341956536229552,0.0419861597409764
APP_OPEN_RATIO_LAST_3_4_DAY,0.00804413406045902,0.07462686567164178,0.037605667446614005,0.040962516624106764
PREV_LOAN_AMOUNT,0.011824090127448212,0.07462686567164178,0.02015134071876738,0.040918064181467234
DAYS_DPD_1_2_W3,0.021953907340640358,0.05970149253731343,0.04148324267229612,0.04089325421230881
LOAN_AMOUNT_VS_PREV_RATIO,0.013075906657082078,0.07462686567164178,0.014249436511785939,0.04089119119910434
APP_OPEN_DAYS_LAST_1_2_DAY,0.012631578909734178,0.07462686567164178,0.013012378390493552,0.04056753790066854
MAX_AVAILABLE_BALANCE_LAST_1_WEEK,0.010921674612710522,0.07462686567164178,0.012771321787497647,0.03977397530670831
RATIO__MAX_DEBIT_AMOUNT_LAST_1_2_DAY_vs_1_WEEK,0.011225399887916192,0.07462686567164178,0.005941090631539343,0.03922762856495503
MAX_AVAILABLE_BALANCE_LAST_4_WEEK,0.009554924987126078,0.07462686567164178,0.013305926849605514,0.03921239848140609
RATIO__APP_OPEN_RATIO_LAST_1_WEEK_vs_2_WEEK,0.009599480167235736,0.07462686567164178,0.011549113674725376,0.03905676699496743
DELTA__TOTAL_CREDIT_AMOUNT_LAST_1_WEEK_vs_3_WEEK,0.009531782750341779,0.07462686567164178,0.009993087697582136,0.03887070055965082
DELTA__RATIO_NUM_DEBIT_CREDIT_TXNS_500_2000_LAST_2_WEEK_vs_4_WEEK,0.009455859428816967,0.07462686567164178,0.006884218067374342,0.03852564810194388
DELTA__RATIO_NUM_DEBIT_CREDIT_TXNS_100_500_LAST_1_WEEK_vs_3_WEEK,0.009933662835179598,0.07462686567164178,0.0036663513471685266,0.038418872962786475
NUM_BOD_DPD_4_10_LOANS_8_TO_15_D,0.013587084110003748,0.0,0.31910484761936,0.03802467261143768
TOTAL_DEBIT_AMOUNT_UPI_LAST_1_2_DAY,0.008129788656328671,0.07462686567164178,0.005795499073540639,0.037820044354940775
DELTA__RATIO_NUM_DEBIT_CREDIT_TXNS_LAST_1_WEEK_vs_4_WEEK,0.006651283205746225,0.07462686567164178,0.011241464784849517,0.037699313473309556
RATIO__NUM_NACH_BOUNCES_LAST_1_WEEK_vs_2_WEEK,0.0222205515963663,0.05970149253731343,0.0010192931426016882,0.03696684917441605
RATIO_CREDIT_TXNS_LATEST_VS_OLD,0.0,0.07462686567164178,0.020779845968297777,0.035660074149068584
DAYS_SINCE_LOAN_START,0.01701706618074938,0.05970149253731343,0.005860855810969989,0.035109437004225266
DELTA__NUM_LOAN_EMI_OVERDUE_LAST_1_WEEK_vs_3_WEEK,0.0,0.07462686567164178,0.015008113942145494,0.03508290094645335
DAYS_DPD_0_W1,0.01998459020765431,0.014925373134328358,0.19348644669132192,0.035058128173024394
TOTAL_CREDIT_AMOUNT_LAST_3_4_DAY,0.0289046057599299,0.04477611940298507,0.01338021741359727,0.034494348064671464
DELTA__TOTAL_DEBIT_AMOUNT_UPI_LAST_1_WEEK_vs_4_WEEK,0.0,0.07462686567164178,0.006069823176964051,0.03418907186993521
RATIO__NUM_BOD_DPD_1_3_LOANS_8_TO_15_D_vs_16_TO_30_D,0.01449926382904877,0.05970149253731343,0.007580265990544374,0.03414836696391743
DELTA__LOAN_COMM_CNT_LAST_1_WEEK_vs_4_WEEK,0.01403161790483125,0.05970149253731343,0.008610955981241966,0.0340409952970893
MAX_DEBIT_AMOUNT_LAST_9_11_DAY,0.01250790055660142,0.05970149253731343,0.011706897363563912,0.03366491662861807
RATIO_OF_AVG_LOAN_REPAYMENT_AMOUNT_TO_AVG_OVERDUE_AMOUNT_IN_2WEEK,0.0,0.07462686567164178,0.0,0.033582089552238806
RATIO__MIN_CDT_AMT_LAST_1_WEEK_vs_4_WEEK,0.012940579564931293,0.05970149253731343,0.008816248815258299,0.03357055732753596
TOTAL_AVAILABLE_BALANCE_LAST_4_WEEK,0.01148838327266894,0.05970149253731343,0.014536847049498427,0.03348912881944191
RATIO_TOTAL_DEBIT_CREDIT_AMOUNT_LAST_3_4_DAY,0.011627896233480674,0.05970149253731343,0.01252150507645835,0.03335037545450319
RATIO_TOTAL_DEBIT_CREDIT_AMOUNT_UPI_LAST_2_WEEK,0.013262056912489125,0.05970149253731343,0.005116209092887992,0.033345218161699955
DELTA__NUM_LOAN_EMI_OVERDUE_LAST_2_WEEK_vs_4_WEEK,0.010651361959162811,0.05970149253731343,0.016616559157973523,0.03332044043921166
IOS,0.00886478636003771,0.05970149253731343,0.02443108448297752,0.03329793395210577
RATIO__NUM_PAID_20PER_DAYS_1_TO_7_D_vs_16_TO_30_D,0.014839001311237235,0.029850746268656716,0.129323487538493,0.03304273516480158
TOTAL_CREDIT_AMOUNT_LAST_1_2_DAY,0.025084457262433392,0.04477611940298507,0.012760903584263229,0.032713349857864636
RATIO__TOTAL_AVAILABLE_BALANCE_LAST_2_WEEK_vs_4_WEEK,0.010387293767359923,0.05970149253731343,0.009286221541157822,0.03246857599121879
RATIO_CREDIT_AMOUNT_CC_LATEST_VS_OLD,0.011051820410476988,0.05970149253731343,0.0052508819225674545,0.03236407901876243
TOTAL_AVAILABLE_BALANCE_LAST_3_4_DAY,0.009205600181571674,0.05970149253731343,0.01348733284151336,0.03235692500764963
APP_OPEN_RATIO_LATEST_VS_OLD,0.009947576214761101,0.05970149253731343,0.00978625131212412,0.03232070606964595
RATIO__MAX_AVAILABLE_BALANCE_8_TO_15_D_vs_16_TO_30_D,0.01009935135274931,0.05970149253731343,0.009052337443417277,0.03231561349486996
RATIO__NUM_NACH_BOUNCES_LAST_1_WEEK_vs_3_WEEK,0.01188697130211349,0.05970149253731343,0.0009265020326117813,0.03230745893100329
RATIO__TOTAL_OVERDUE_AMOUNT_1_TO_7_D_vs_16_TO_30_D,0.029556857994741562,0.014925373134328358,0.12273937934604999,0.03229094194268646
TOTAL_OVERDUE_AMOUNT_16_TO_30_D,0.02727102182569312,0.029850746268656716,0.06584873137345582,0.03228966877980301
DELTA__TOTAL_CREDIT_COUNT_UPI_LAST_2_WEEK_vs_4_WEEK,0.010917882962743423,0.05970149253731343,0.004927894422846656,0.03227150841731025
MIN_DEBIT_AMOUNT_LAST_3_4_DAY,0.009255584101212388,0.05970149253731343,0.010207398645464142,0.03205142435188303
DELTA__RATIO_NUM_DEBIT_CREDIT_TXNS_500_2000_LAST_1_WEEK_vs_4_WEEK,0.009651310987344296,0.05970149253731343,0.007956326952295492,0.03200439428132553
RATIO__RATIO_NUM_DEBIT_CREDIT_TXNS_LAST_1_WEEK_vs_2_WEEK,0.00833240201127028,0.05970149253731343,0.012177159276507109,0.03183296847451338
DISTINCT_BANKS_WITH_LOAN_APPLIED_3WEEK,0.010957874050051495,0.05970149253731343,0.0,0.031796714964314216
MIN_AVAILABLE_BALANCE_LAST_3_WEEK,0.007751517472886485,0.05970149253731343,0.01208898016185422,0.03156275252077539
DELTA__PROP_CREDIT_TXNS_LT_100_LAST_1_WEEK_vs_3_WEEK,0.008403948470351683,0.05970149253731343,0.00890596750313181,0.03153804520376249
DELTA__AVG_DEBIT_TXNS_LAST_1_WEEK_vs_4_WEEK,0.009291605716755897,0.05970149253731343,0.004485703970996892,0.031495464611430886
