number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.3123451776343647,2026-04-14 14:05:12.443942,2026-04-14 14:05:16.303785,0 days 00:00:03.859843,0.7207805082202461,0.8540362888980227,0.9063233020424546,8.324426408004218,0.0011037070265134034,358,9,188,5.523841089749877,999,1.5836105732402e-08,25.53445324755568,1.2321380195091896,0.5290418060840998,COMPLETE
1,0.3186443750645344,2026-04-14 14:05:16.304221,2026-04-14 14:05:29.819918,0 days 00:00:13.515697,0.5045012539746527,0.6831809216468459,0.3976457024564293,1.9967378215835974,0.004477428417528145,330,4,78,9.445645065743216,691,0.0002650996148684708,0.4124754430303407,2.3821657089541035,0.8059264473611898,COMPLETE
2,0.2859262878613288,2026-04-14 14:05:29.822050,2026-04-14 14:05:33.967088,0 days 00:00:04.145038,0.5132296384213595,0.5488360570031919,0.8658781436815227,1.2203823484477883,0.000695587101817605,193,3,156,28.517680580346664,1348,0.04328681181816577,0.00018579149703336993,2.3095687416393704,0.9828160165372797,COMPLETE
3,0.31531034234116884,2026-04-14 14:05:33.967741,2026-04-14 14:05:39.639713,0 days 00:00:05.671972,0.978709239435191,0.8875664116805573,0.4293981188678689,5.978999788110851,0.002432308267323791,383,9,66,16.081972614156513,455,12.947086612880602,4.774233225501719,3.9350120445940084,0.7733551396716398,COMPLETE
4,0.3024572426408171,2026-04-14 14:05:39.640366,2026-04-14 14:05:45.338326,0 days 00:00:05.697960,0.49665415678116653,0.7713480415791243,0.5497273286855124,0.7455064367977082,0.003594689518561294,253,4,11,8.869121921442982,541,2.327125638489774e-07,0.6032321141150596,4.18266876568502,0.9143687545759647,COMPLETE
5,0.4073974203406588,2026-04-14 14:05:45.338947,2026-04-14 14:05:45.389196,0 days 00:00:00.050249,0.5509260099809908,0.5579345297625649,0.35183125621386324,3.308980248526492,0.018070426410719067,441,4,1,22.14120787318863,1636,2.3507921846521724,0.011100686452941145,0.6653786880836943,0.8856351733429728,PRUNED
6,0.3228007985780485,2026-04-14 14:05:45.389770,2026-04-14 14:05:49.873982,0 days 00:00:04.484212,0.8325495340318282,0.7806385987847482,0.7992713510560965,5.227328293819941,0.04513291031390362,373,5,187,14.69423282969653,897,0.30032228022192725,0.0006156142687895104,2.051919347395952,0.5597971229691509,COMPLETE
7,0.6027005002195103,2026-04-14 14:05:49.874408,2026-04-14 14:05:49.935221,0 days 00:00:00.060813,0.5872680461249408,0.8777755692715243,0.47450456040421246,2.8975145291376805,0.0024651781168983818,373,3,8,15.74855004377638,440,1.6561762183321752e-06,5.579892555161637e-08,1.0374118778260515,0.9537832369630466,PRUNED
8,0.31918179547345016,2026-04-14 14:05:49.935684,2026-04-14 14:05:54.747922,0 days 00:00:04.812238,0.8652081086148438,0.9480456499617467,0.6775395693409555,2.279351625419417,0.02953654470298988,463,8,162,6.410531707695039,1888,1.2142445560368579e-05,1.1678587390897415e-07,2.050269019808024,0.9462794992449889,COMPLETE
9,0.4073974203406588,2026-04-14 14:05:54.748338,2026-04-14 14:05:54.804263,0 days 00:00:00.055925,0.9600367927387634,0.6616014660103776,0.5363306199825395,3.63629602379294,0.004159048045255321,324,9,1,7.441126503651177,1709,0.001075807775398724,0.0658506088548387,4.125128954331139,0.5599326836668415,PRUNED
