feature,mean_abs_shap
TILLDATE_MAX_DPD,0.18173522
MAX_DPD_30D,0.1425494
NUM_PAID_20PER_DAYS_1_TO_7_D,0.12795281
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,0.09138483
NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,0.07590195
COLLECTED_AMOUNT_EOD,0.06257261
NUM_NO_CALL_ALLOCATED_LOANS_16_TO_30_D,0.058097713
MAX_BOD_DPD_8_TO_15_D,0.056232125
MAX_BOD_DPD_1_TO_7_D,0.055297364
MAX_DPD_W2,0.051808916
MAX_ACTUAL_DPD_1_TO_7_D,0.050750338
EMI_PER_MAX_DPD_30D,0.050374784
MAX_DPD_W1,0.047275107
NUM_BOD_DPD_1_3_LOANS_16_TO_30_D,0.04631131
POS,0.04630233
NO_OF_MODES_OF_REPAYMENTS_USED,0.04397253
NUM_PAID_20PER_DAYS_8_TO_15_D,0.042942096
DAYS_DPD_1_2_W1,0.040166106
NUM_PAID_20PER_DAYS_16_TO_30_D,0.04011648
RATIO__NUM_READABLE_SMS_LAST_1_2_DAY_vs_1_WEEK,0.035005894
TOTAL_DAYS_LATE_30D,0.034653686
DAYS_BETWEEN_LOANS,0.033992864
DAYS_DPD_1_2_W2,0.032420278
MAX_BOD_DPD_16_TO_30_D,0.031608082
LOAN_AMOUNT,0.031081336
MAX_ACTUAL_DPD_16_TO_30_D,0.028477456
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,0.027419347
TOTAL_OVERDUE_AMOUNT_16_TO_30_D,0.02503238
RATIO__AVG_CREDIT_TXNS_LAST_1_WEEK_vs_3_WEEK,0.024771439
AVG_LOAN_AMOUNT_16_TO_30_D,0.024369093
PCT_DAYS_LATE_30D,0.024185793
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,0.023841837
MAX_ACTUAL_DPD_8_TO_15_D,0.023743996
DELTA__APP_OPEN_RATIO_LAST_1_2_DAY_vs_1_WEEK,0.022946717
TOTAL_COLLECTED_AMOUNT_1_TO_7_D,0.022864202
RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,0.022794995
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,0.021305617
NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,0.019837704
DPD_TREND_RECENT_VS_EARLY,0.019760882
IS_MANUAL_REPAYMENT_ON_LENDER_MID,0.019696714
RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,0.017624708
RATIO__NUM_BOD_DPD_4_10_LOANS_1_TO_7_D_vs_16_TO_30_D,0.016866155
AVG_DPD_30D,0.016073858
TOTAL_DAYS_DPD_0_30D,0.015588205
NUM_BOD_DPD_1_3_LOANS_1_TO_7_D,0.015072813
DELTA__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,0.014280243
AVG_BOD_DPD_1_TO_7_D,0.013583882
LOAN_STATUS,0.013488057
DELTA__AVG_BOD_DPD_8_TO_15_D_vs_16_TO_30_D,0.012439838
RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,0.01072673
